s_name1,fund_house,schemecode,s_name
SBI Nifty 50 ETF,SBI Mutual Fund,33369,SBI Nifty 50 ETF
SBI BSE Sensex ETF,SBI Mutual Fund,20447,SBI BSE Sensex ETF
Parag Parikh Flexi Cap Fund-Reg(G),PPFAS Mutual Fund,21520,Parag Parikh Flexi Cap Fund-Reg(G)
HDFC Balanced Advantage Fund(G),HDFC Mutual Fund,1273,HDFC Balanced Advantage Fund(G)
HDFC Mid Cap Fund-Reg(G),HDFC Mutual Fund,1305,HDFC Mid Cap Fund-Reg(G)
HDFC Flexi Cap Fund(G),HDFC Mutual Fund,1131,HDFC Flexi Cap Fund(G)
SBI Equity Hybrid Fund-Reg(G),SBI Mutual Fund,2747,SBI Equity Hybrid Fund-Reg(G)
ICICI Pru Large Cap Fund(G),ICICI Prudential Mutual Fund,4980,ICICI Pru Large Cap Fund(G)
Kotak Arbitrage Fund(G),Kotak Mahindra Mutual Fund,1979,Kotak Arbitrage Fund(G)
SBI Liquid Fund-Reg(G),SBI Mutual Fund,2828,SBI Liquid Fund-Reg(G)
HDFC Liquid Fund(G),HDFC Mutual Fund,1286,HDFC Liquid Fund(G)
Nippon India Small Cap Fund(G),Nippon India Mutual Fund,12758,Nippon India Small Cap Fund(G)
ICICI Pru Balanced Advantage Fund(G),ICICI Prudential Mutual Fund,1470,ICICI Pru Balanced Advantage Fund(G)
ICICI Pru Multi-Asset Fund(G),ICICI Prudential Mutual Fund,1495,ICICI Pru Multi-Asset Fund(G)
UTI Nifty 50 ETF,UTI Mutual Fund,33150,UTI Nifty 50 ETF
Kotak Midcap Fund-Reg(G),Kotak Mahindra Mutual Fund,1977,Kotak Midcap Fund-Reg(G)
ICICI Pru Value Fund(G),ICICI Prudential Mutual Fund,1492,ICICI Pru Value Fund(G)
Kotak Flexicap Fund(G),Kotak Mahindra Mutual Fund,7874,Kotak Flexicap Fund(G)
SBI Large Cap Fund-Reg(G),SBI Mutual Fund,2711,SBI Large Cap Fund-Reg(G)
Aditya Birla SL Liquid Fund(G),Aditya Birla Sun Life Mutual Fund,293,Aditya Birla SL Liquid Fund(G)
ICICI Pru Liquid Fund(G),ICICI Prudential Mutual Fund,1659,ICICI Pru Liquid Fund(G)
UTI BSE Sensex ETF,UTI Mutual Fund,33151,UTI BSE Sensex ETF
Nippon India ETF Nifty 50 BeES,Nippon India Mutual Fund,2272,Nippon India ETF Nifty 50 BeES
SBI Contra Fund-Reg(G),SBI Mutual Fund,2809,SBI Contra Fund-Reg(G)
Nippon India Multi Cap Fund(G),Nippon India Mutual Fund,2466,Nippon India Multi Cap Fund(G)
ICICI Pru Equity & Debt Fund(G),ICICI Prudential Mutual Fund,1482,ICICI Pru Equity & Debt Fund(G)
Nippon India Large Cap Fund(G),Nippon India Mutual Fund,2455,Nippon India Large Cap Fund(G)
Tata Money Market Fund-Reg(G),Tata Mutual Fund,3267,Tata Money Market Fund-Reg(G)
